,Numer,Date,Year,Day,Description,Location,Province,Latitude,Longitude,Elevation,Activity,Involvement,Injury,Fatality,Month,Temp
10,11,2019-03-16,2019,Saturday,"A ski-tourer and split boarder triggered a persistent slab avalanche while ascending above Pharaoh Lake. Both were caught and partially buried. One person was able to extricate themselves and their partner, then obtained assistance from another party who were able to summon assistance via personal location devices. A Parks Canada Visitor Safety team evacuated the injured person who later succumbed to injuries in hospital.",Pharaoh Lake,AB,51.114536,-115.914762,2400,Ski touring,2,0,1,March,-5
11,12,2019-03-11,2019,Saturday,"A naturally triggered wind slab released from a steep alpine feature above the Massey's waterfall on Mount Stephen near Field, BC. Masseyâ€™s is a very popular Grade 3 waterfall ice climb. The climb is at the bottom of a very large avalanche path, avalanches that start above on Mt. Stephen often funnel through the track and run right over the waterfall.



On the day of the incident the avalanche entrained loose faceted snow at and below treeline and ran over the waterfall striking a group of ice climbers at the base of waterfall. The group carried out a self-rescue but were limited because their packs that contained their rescue equipment were swept away. One injured person was evacuated by a Parks Canada Visitor Safety team and subsequently passed away in hospital.",Massey's Waterfall,BC,51.404092,-116.466891,1300,Ice Climbing,5,0,1,March,-7
12,13,2019-02-18,2019,Thursday,"A group of two snowshoers were winter camping in the vicinity of Mount Seymour. In the morning of the incident, they left their tent erected and headed towards Runner Peak. While moving in steep terrain near the summit of Runner Peak, the group triggered a size 2.5 slab avalanche that caught both party members. One person became entangled in trees on very steep terrain and was rescued by helicopter long-line. The second person was found two days later buried under a little over 1 m of snow by probing.



Rescuers noted an unstable layer of snow buried approximately 70 cm below the surface comprising facetted snow overlying a crust. Snowpack tests confirmed this failure plane was highly reactive to human-triggering.



The travelers were equipped with snowshoes and ice axe but did not carry avalanche rescue gear.",Runner Peak,BC,49.3937,-122.9434,1325,Snowshoeing,2,1,1,February,-6
13,14,2019-02-09,2019,Wednesday,"A group of four snowmobilers were on or near the south facing slopes above Oventop Creek in the Northern Monashee Mountains. Upon noticing that one member was separated from the group, the rest initiated a search. The missing group member was caught in a size 2 wind slab avalanche 40 m wide that ran 150-200 m. The avalanche failed at the upper end of treeline at the elevation of 2120 m and ran down into a band of trees. The deceased was found by companions under 1 m of snow, against a tree.",Oventop Creek,BC,52.334951,-118.894301,2120,Snowmobiling,1,0,1,February,2
14,16,2019-01-12,2019,Saturday,A group of snowmobilers were on or near slopes on the south/southeast side of Mount Brewer in the Purcell Mountains. Two were caught in a very large Deep Persistent Slab avalanche 200-400m wide that ran 900-1100m onto a small lake. One deceased with an activated airbag was recovered from a two metre deep burial. A transceiver signal was located on the lake where debris was floating on the water. The second deceased was subsequently recovered from the lake by a dive team.,Mount Brewer,BC,50.3733,-116.22389,2600,Snowmobiling,2,0,2,January,-6
15,17,2019-01-03,2019,Friday,A skier who was part of a group was slightly ahead of other party members and went out of sight over a roll. Rest of group came over the roll and saw a 25cm thick soft slab avalanche had occurred. Deceased was found approximately 50m downslope on the uphill side of a tree island.,Pebble Creek,BC,50.7211,-123.2444,1680,Skiing,1,0,1,January,5
16,18,2018-03-28,2018,Monday,While regrouping a remotely triggered size 1 avalanche started which sympathetically triggered a size 2.5 - 3.0. The larger avalanche caught one person who was subsequently buried and did not survive. Several other nearby sympathetic releases were also observed some of which combined with the initial avalanches.,South Creek,BC,50.483889,-123.281667,2020,Heliskiing,1,0,1,March,6
17,19,2018-02-10,2018,Sunday,"Two individuals were sitting on sleds looking at view. Cornice collapsed causing one to fall approximately 75m to slope below. A size 1.5 - 2.0 avalanche on the slope below was triggered by the cornice fall. The deceased was partially buried, head down to the waist. A second party witnessed the incident and extricated the deceased from the snow but were revival attempts were unsuccessful.",Soo Valley,BC,50.257891,-123.287952,2150,Snowmobiling,1,0,1,February,-6
18,20,2018-02-09,2018,Saturday,"Party of two were travelling up a small drainage. One turned into a side drainage and was caught in a size two slab avalanche. Burial depth of approximately three metres suggests a terrain trap was involved, likely a creek or gully feature.",Hospital Creek,BC,51.381917,-116.878889,2200,Snowmobiling,1,0,1,February,5
19,22,2018-01-08,2018,Sunday,"Two skiers were caught in an avalanche near the McDermott Cabin 15 km east of Jaffray, BC. One skier was able to prevent himself being buried by the snow by clinging onto a tree but the other was carried down and buried. He was located by his companion but found to be deceased. The survivor was able to report back to the McDermott Cabin where they were staying with a larger party. The fracture line was reported to be 100 cm deep and the avalanche is presumed to have run on the mid-December persistent weak layer. The avalanche was triggered in a slightly steeper, slightly more open part of the slope and propagated upwards into an area that contained moderately dense timber. Slope angle was approximately 33 degrees.","McDermott Basin, east of Jaffray BC",BC,49.35641861,-115.0805969,1750,Backcountry Skiing,1,0,1,January,1
20,24,2017-12-31,2017,Monday,"After skiing the top pitch of the run, a group of six skiers regrouped on an open treed bench to assess the final pitch. The final pitch was skied one at a time. The victim was the fifth person to ski the slope. When the avalanche triggered, the victim was on a steep, partially treed portion of the slope and was skiing over two other skiersâ€™ tracks. One member of the group was standing above the crown and on the bench when the avalanche was triggered (all other skiers were out of the path of the slide). This individual found the victim who was located next to and just uphill of a tree, fully buried. Another rescuer arrived to help unbury her and CPR was administered. She was airlifted to hospital in critical condition and taken off life support a week later due to anoxic brain injury.",Kootenay Pass,BC,49.07936859,-117.0643005,1950,Backcountry Skiing,1,0,1,December,-8
21,25,2017-04-08,2017,Saturday,"Five snowshoers hiking on Mount Harvey fell to their death when a cornice collapsed close to the summit. The cornice broke away above the steep north west face, plunging almost vertically for approximately 150 m before triggering a size 3 loose wet avalanche on the slope below. The five victims appear to have been swept down with the snow and were discovered buried in the avalanche deposit in the runout zone. The sixth member of the group had become separated from the main group and did not witness the cornice collapse. He met up with another solo hiker and when they discovered evidence of a freshly separated section of cornice deduced the rest of the group must have fallen down the steep NW face. The weather on the day in question was stormy with the freezing level around 900 m.","Mount Harvey, Lions Bay",BC,49.47587967,-123.2064972,1652,Snowshoeing & Hiking,5,0,5,April,5
22,26,2017-03-12,2017,Saturday,"On Sunday March 12, two people walked up Hector Creek using snowshoes. Approximately 800 meters up the trail they turned and walked up the steep lower bowl of the Mt. Hector approach.



On Tuesday, March 14 they were reported having not checked out from their hotel. A subsequent trailhead search found their vehicle parked at the Hector Creek trailhead. 800 meters up the trail, search and rescue teams found their snowshoe trail leading into a large pile of avalanche debris and one person was observed partially buried.



",Mt. Hector - lower part of the drainage just above,AB,51.60498047,-116.2985001,2400,Snowshoeing & Hiking,2,0,2,March,0
23,27,2017-03-06,2017,Friday,"An avalanche was triggered that partially buried three members of a group of six, one critically. The deceased suffered trauma. The avalanche is believed to have run on a layer of facets over a thin crust.",Upper Goldstream River,BC,51.58208084,-118.1152878,2115,Mechanized Skiing,3,1,1,March,3
24,28,2017-03-04,2017,Sunday,"One skier was fully buried in an avalanche that occurred on a slope above Hanging Lake, approximately 10 km northwest of Whistler. The avalanche was reported as a size 2.5, 100-150 m wide, running 400 m, with a crown depth of 80-100 cm. The avalanche occurred on a northwest aspect and slid on a layer of facets over a crust. The victim was the third of a party of six to descend the slope. No other party members were caught in the slide. The victim was located at an elevation of 1400 m; the elevation of the start zone was approximately 1600 m. The victim was washed through a stand of trees during the descent. 



Rescuers were unable to locate the victim using a transceiver search, despite the victim having a transceiver on their person. The transceiver, worn in a hip pocket, was found with the switch in the â€œsearchâ€ position, for reasons unknown at this time. The victim deployed an avalanche balloon pack, but it was found to have sustained significant damage. The victim did not employ the packâ€™s crotch strap. 



Nearby parties as well as search and rescue assisted with the rescue and a probe line was established. The victim was eventually located with the help of a rescue dog approximately four hours after the avalanche occurred. CPR was initiated but the victim was pronounced deceased by a doctor on site.","Hanging Lake, Callaghan Valley near Whistler",BC,50.14907074,-123.0820999,1600,Backcountry Skiing,1,0,1,March,-5
25,30,2017-01-21,2017,Sunday,"Three skiers spaced out riding slope, third person triggered the slope. One person ""wrapped around a tree"" was on the surface in the track. One person partially buried with injuries, one person partially buried with fatal injuries.","Ymir, Qua Peak",BC,49.39093018,-117.1101151,2100,Backcountry Skiing,3,1,1,January,4
26,31,2016-12-30,2016,Sunday,"One person stuck on slope. Two others went to help, rode above stuck person, and triggered avalanche. Stuck person fully buried, deceased. One partially buried, required assistance. one partially buried, self extricated.



Slab was estimated 60-120cm thick.",Clemina Creek,BC,52.55963898,-118.9445038,2250,Snowmobiling,3,0,1,December,-2
27,32,2016-09-25,2016,Saturday,"Two skiers ascending Mt. Victoria to ski The Sickle. Approached via The Deathtrap and once above the big cliffs they contoured back above those cliffs until below The Sickle ski line. Skiers began ascending in deteriorating conditions. At approximately 2875 m, the skiers stopped and decided to retreat due to poor conditions and hand shears they did not like. The first skier began descending while the second skier was a few minutes behind him. When the second skier was descending he could see no sign of his partner and then skied over the bed surface of a small wind slab. He continued to descend, following their up track and once back into The Deathtrap, he located his friend on the surface of the snow at the base of a 75 m cliff. Second skier then descended for help.",Mt. Victoria - The Sickle into The Deathtrap,AB,51.37060165,-116.2901993,2850,Backcountry Skiing,1,0,1,September,11
28,35,2016-03-20,2016,Saturday,"Subject snowshoeing solo, had done the Tent Ridge hike before, walked from Mt. Shark parking lot along a cut road and then traversed from lower treeline to mid traditional run-out or mid track (single snowshoe tracks were seen from helicopter) and likely toe triggered the 160106 Fc which propagated up into the start zone.  Subject was found on the skier's right approx 200 meters from the terminus of the debris, surface clues found near the probe strike.  Subject probe strike was 1.3 meters deep at head and 2 meters at feet after PC Dog received strong scent cone indications.  Excavation time approx 20 minutes.",Tent Ridge,AB,50.84220123,-115.3833008,2350,Snowshoeing & Hiking,1,0,1,March,-6
29,40,2016-02-21,2016,Saturday,"Feb 21st, 2016 at approximately 11:00 hours, a group of 13 backcountry skiers were involved in a size 3 avalanche on S22 (Hogzilla), a north-facing drainage off the eastern flank of Avalanche Peak. Ten skiers, including the guide and assistant guide, were caught. One skier was kicked out after a successful airbag deployment. Four managed to self-rescue. Five were buried, then uncovered by the group within 10 minutes. External support arrived from a nearby heliskiing operation and Golden SAR. Five victims had their injuries attended to at the Golden Hospital. Two further victims had serious injuries. One of these, requiring extensive CPR, was flown to Kamloops, BC. The other was flown by STARS to Foothills Calgary, but succumbed to internal injuries three days later.","Esplanades, Cupola SE2",BC,51.56349945,-117.5356979,2100,Backcountry Skiing,7,6,1,February,-7
30,41,2016-02-20,2016,Sunday,"A group of 4 snowmobilers were riding in a major avalanche path at the east end of Quartz Creek Road, opposite Dauntless Mountain. One rider triggered an avalanche while climbing the slope. Two riders were caught in the slide and carried approximately 500 m. One person was saved by visual clue (finger tips exposed) and sustained injuries requiring hospitalization. The deceased was fully buried.","Quartz Ck, Dauntless Mountain",BC,51.37739944,-117.2783966,2500,Snowmobiling,2,1,1,February,-8
31,43,2016-01-23,2016,Thursday,"Party of six was riding in a difficult-to-access part of the Torpy area that had seen little or no recent sled traffic. Victim was climbing a slope when he triggered the avalanche. Victim was carried approximately 150 m downslope and buried 90-100 cm below the surface. A rescue response was conducted by the other group members, but the victim succumbed to injuries sustained during the avalanche.","Sinclair Mills, Torpy",BC,54.06554031,-121.3271027,1720,Snowmobiling,1,0,1,January,-1
32,44,2015-03-21,2015,Monday,"Slab thickness 70 - 120 cm. Funneled into gully, terrain trap.",Back Door area Dore Creek,BC,53.18582916,-120.492897,1900,Snowmobiling,2,0,2,March,-4
33,48,2015-02-15,2015,Friday,"Five skiers were involved in an avalanche that is initially thought to have been triggered on a weak layer buried at the end of January. The avalanche subsequently stepped down to a deeper weak layer buried early November and in some places scoured all the way to ground. There were no burials - all the victims remained on the surface. Three victims suffered minor injuries, one suffered a broken leg and one succumbed to their injuries. The presence of trees is thought to have contributed to the severity of the injuries.","Kananaskis Country, Black Prince area",AB,50.69210052,-115.2068024,2450,Backcountry Skiing,0,4,1,February,4
34,49,2015-02-05,2015,Tuesday,"Subjects started the climb on Polar Circus at 05:30 on Thursday, Feb 5, 2015. They successfully climbed the ten pitch route (Grade 5) and topped out at 16:00 hrs. After rappelling the Ribbon Pitch, Subject 1 walked ahead to  locate the next rappel station. After pulling the ropes, Subject 2 started to follow his partner's footprints and saw that they disappeared into avalanche debris. Subject 2 called out and did a visual search for his partner (party was not wearing avalanche transceivers). There was no response and no sign of him on the surface. After a period of time Subject 2 descended the rest of the route and activated a Parks Canada rescue response.","Polar Circus Ice Climb, Banff National Park",AB,52.13890076,-116.9857025,1800,Ice Climbing,1,0,1,February,-3
35,52,2014-03-24,2014,Saturday,"Four guests and one guide were waiting to be picked up by helicopter after skiing an area known as Birthday Bowl. The guided group had skied the same slope three times prior to this incident. The slide was witnessed by the guide, who managed to push two guests to safety before he and another guest were caught in the slide sustaining minor injuries that required treatment at the Revelstoke Hospital. The deceased was caught in the slide and carried approximately 800 m down the slide path buried under 4-5 m of snow and fallen trees.","Birthday Bowl, SE of Mica Dam",BC,51.40919876,-118.0575027,2400,Mechanized Skiing,3,2,1,March,6
36,54,2014-03-14,2014,Sunday,"Two people were ""cat and mouse"" hill climbing. Higher of the two people triggered slope; both were caught. The upper person was partially buried (non-critical, to chest/neck with one arm exposed). The deceased was fully buried (250 - 300 cm deep) still with his snowmobile.","Blue River, Red Sands Mtn.",BC,52.17079926,-119.1563034,2250,Snowmobiling,2,1,1,March,2
37,55,2014-03-11,2014,Saturday,Decided to turn around due to concerns about avalanche risk. One sled made a turn above road to go back and triggered avalanche. Second sled unable to escape and caught up  in slide. The victim was originally from Newfoundland but had been living in Crawford Bay for almost a year prior to the accident.,Grey Creek Pass,BC,49.5929985,-116.338501,2030,Snowmobiling,1,0,1,March,6
38,57,2014-03-08,2014,Saturday,Snowmobiling in a cutblock.,Keefer Lake,BC,50.12685013,-118.342598,1675,Snowmobiling,3,2,1,March,6
39,59,2014-02-23,2014,Sunday,Group of 4 backcountry skiing. 2 started skiing slope. 3rd member of group started down the slope and triggered a size 2.5 slab avalanche. Crown depth 100 cm. Failed on surface hoar/crust/facet layer (Jan 29th). Avalanche was about 30 m wide and ran about 700 m. The female victim was quickly wrapped around a tree near the top of the slope. The second male was carried by the avalanche through trees and over small rock bands. Neither were buried. The male victim had significant injuries. The male who triggered the avalanche was not caught or buried by the slide.,"Kootenay Pass, Lightning Strike Ridge",BC,49.02000046,-117.0299988,1900,Backcountry Skiing,2,1,1,February,-3
40,60,2014-02-15,2014,Friday,"One man has died as a result of an avalanche accident that occurred at approximately 3:30 PM on Saturday, February 15, 2014 near Rowe Peak in Waterton Lakes National Park.  



The other member of this backcountry party was not buried by the avalanche, and was able to locate and partially extricate his partner.  Attempts at resuscitation were unsuccessful.  

","Waterton Lakes National Park, Rowe Peak",AB,49.04589844,-114.0481033,2300,Backcountry Skiing,1,0,1,February,2
41,61,2014-02-15,2014,Sunday,"A group of four snowmobilers were riding in an area known as Shady Lane. Two members of the group had become stuck riding in deep snow. A third was turning around with the intention of providing assistance, when he also became stuck. The fourth member assisted the third by pulling on the ski of the snowmobile. The stuck snowmobile moved forward under heavy throttle and with the ski pill assistance by about 6 to 10 ft.  Right at this point, the third and fourth group members were both struck and fully buried by an avalanche from the slope above. The third member, who was still on his snowmobile, braced himself against the handlebars and managed to stay in an upright position. His head was uncovered relatively quickly by the two companions who were not buried. He claimed to have a small air pocket between his visor and his goggles. The fourth was more deeply buried face down in the snow. Once the head of the third member had been uncovered and it had been established he was still alive (he was dug out slightly later on by a member of another party) the rescuers started to search for the fourth member. By the time the fourth member was uncovered he was unresponsive. CPR was administered for 20-30 mins without success.","Revelstoke, Boulder Mountain",BC,50.99879837,-118.3279037,1650,Snowmobiling,2,0,1,February,6
42,64,2013-03-24,2013,Friday,"Around 2 pm on March 24, 2013 a party of three began a ski descent down a south west slope below Sifton Col.  It was initially a cold day, becoming milder in the afternoon, with clear skies and light winds. Two members of the group remained at the top of the slope, while one member skied down to assess conditions.  The skier triggered a size 2.5 slab avalanche, was engulfed by the avalanche and carried down the slope into a depression.  He was buried under approximately 1.5 m of debris.

The two remaining party members performed a companion rescue and uncovered their unresponsive partner.  CPR was initiated immediately while the patient was moved to a safer location, less exposed to avalanche danger.  One person stayed on scene and continued CPR while the second person skied back to the Rogers Pass Discovery Centre to report the incident. 

See attached detailed accident summary for further details.","Roger's Pass, Sifton Col",BC,51.32920074,-117.5567017,2525,Backcountry Skiing,1,0,1,March,-2
43,66,2013-02-22,2013,Friday,"Group was ascending, widely spaced out over the terrain. Alpine-like feature near treeline elevation. ","Revelstoke, Mt. Mackenzie, Backside of ""Birthday C",BC,50.96900177,-118.0820007,2120,Out-of-bounds Skiing,3,0,1,February,3
44,70,2012-03-11,2012,Saturday,"Two skiers entered top of wind-loaded lee slope one at a time.  First skier stopped above a small band of cliffs populated by trees.  Second skier skied upper slope and continued through the cliffs / trees onto lower slope.  Heard first skier yell ""avalanche"" then skied off to the side out of the avalanche path.  When slide stopped, first skier alerted other members of the party with a whistle and began beacon search.  Other party members entered debris down-slope from first skier and located and uncovered buried member quickly. Immediately used Sat phone to call for assistance from SAR.  Began CPR.  After 30 min discontinued CPR.  Revelstoke SAR arrived but was unable to remove deceased because of weather.  Mixed rain / snow and rotor icing forced SAR group to retreat.  SAR unable to return until the morning of the 13th due to high winds, blowing snow, and horrid flying conditions.","Head of McKay creek, Ghost Peak, Revelstoke",BC,50.92580032,-118.0351028,2038,Backcountry Skiing,1,0,1,March,4
45,71,2012-03-09,2012,Saturday,Snowmobiler triggered avalanche above two sleds that were stuck in snow. Triggering snowmobiler caught in slide and was found submerged by snow and wrapped around tree. Transceiver utilized in finding buried victim within ten minutes but could not be resuscitated due to injuries sustained in collision with tree.,"Sparwood, Corbin Creek Area",BC,49.27000046,-114.4300003,2000,Snowmobiling,1,3,1,March,-7
46,74,2012-01-06,2012,Sunday,"Three members of a party of six had skied the skier's left-hand side of the avalanche path and regrouped in the trees near the bottom of the avalanche path. The fourth skier entered the slope on the skier's right side and immediately triggered the avalanche. The fourth skier was caught in the avalanche, getting pushed under the snow multiple times but survived, ending up on the surface with lost gear. One of the skiers who had regrouped in the trees was unable to move out of the way of the avalanche and got pushed approximately 60m through timber. This victim was on the surface, found by transceiver. The party initiated CPR on this victim, who did not survive the incident. The other two members of the party at the top made their way down the bed surface to help with the rescue.","Molars, Dogtooth Range, Purcells",BC,51.18000031,-117.0599976,2350,Backcountry Skiing,0,1,1,January,-4
47,78,2011-02-26,2011,Tuesday,"Group of four skiing a gully feature.  Windslab avalanche 50-100 cm thick and 40 m wide.



New information has confirmed increased size of this avalanche from initial report: 3.0","Tom George Mtn, Smithers BC",BC,54.45690918,-127.669899,1624,Backcountry Skiing,3,1,2,February,-2
48,79,2011-02-19,2011,Monday,"A snowmobiler triggered the slab from near top (climber's right) of face.  Slab width was about  250m from flank to flank.  Depth was 80cm average to 250cm max.  Go here: http://www.avalanche.ca/cac/library/avalanche-image-galleries/Avalanches2010-2011 to see a photo of the avalanche titled Hope Creek Avalanche. February 19, 2011. Click on the camera icon at the bottom of the photo to see a full-size image.",Hope Creek Snowmobile Area,BC,51.73917007,-117.2518997,2600,Snowmobiling,4,1,3,February,-5
49,82,2011-01-16,2011,Saturday,"Two groups skiing in same drainage; a group of 10 and a group of 5. Group of 5 decided to climb higher onto ridge. Group of 10, decided not to go any higher.",Mt Tanal: Kokanee Glacier Provincial Park,BC,49.78104019,-117.1976013,2192,Backcountry Skiing,1,1,1,January,-3
50,84,2010-12-28,2010,Friday,"Party of two was travelling ahead of the rest of the group.  1st Snowmobiler triggered the slide as he was cresting the ridge top/bowl (he was unaware he triggered an avalanche).  



The rest of the party came upon the debris, saw 1 or both of the second snowmobiler's sled's skis sticking out of the debris.



A search was commenced, the subject was found by probe 2-3m uphill of his snowmobile.   It took 20 minutes to recover the subject.



It appears an airbag was deployed.  Details about how/when are not known for certain as the avalanche was unwitnessed.","Coquihalla Summit, Illal Mountain SE shoulder",BC,49.53944016,-121.0369034,1820,Snowmobiling,1,0,1,December,4
51,86,2010-04-05,2010,Sunday,Slide triggered by a victim who was highmarking on slope above. Debris stopped about 3m short of a person at the bottom of the slope. ,NW of Invermere,BC,50.71395493,-116.7321167,2267,Snowmobiling,1,0,1,April,8
52,88,2010-03-20,2010,Wednesday,"Location: Alpine at approx. 2300m.

Character: N; 30 degrees; Open Slope. 

Comment:  -Same slope skied two days prior. -Two phase avalanche. -Three buried: one recovered (airbag), two deceased.",Azure River Drainage,BC,52.36349869,-119.5035019,2300,Mechanized Skiing,3,0,2,March,-4
53,89,2010-03-19,2010,Tuesday,"Two large groups of snowmobilers were riding together. There were 19 people in total. Decedent was starting to climb the hill when the slide initiated. There were two other snowmobilers on the slope at that time.



Large debris piles - up to 10-15 metres deep. slide ran into a very large bench feature.",Eagle Pass Mtn,BC,51.08543015,-118.4908752,1900,Snowmobiling,1,1,1,March,3
54,92,2010-02-14,2010,Wednesday,"A snowmobiler ascending a steep short slope got stuck and a second snowmobiler climbed up below the first and got off his sled to help the first but felt the slope break. Both were caught in the avalanche. The second was buried and died at, or close to, the toe of the deposit.",Bewes Creek,BC,51.08449936,-118.5250015,1920,Snowmobiling,1,0,1,February,-1
55,98,2009-03-25,2009,Saturday,Five snowmobilers were highmarking in a lee bowl feature at and approximately 200m above treeline. The event occurred as one rider reached broken terrain above the group. The terrain comprised spaced sub-alpine trees and 45-50 degree alpine rock bands. The four others were positioned in what was to become the bottom of the run out zone. The subject triggered the slope mid start zone and was carried approximately 150-200m to skiers left flank trees. He was located by beacon and dug out by party members after 20-30 minutes. Depth of burial was approximately 3m. CPR was administered for 30 mins but rescusitation was ineffective. The sled was partially buried and was ultimately able to be rode out.,Hell Roaring Creek,BC,49.47634888,-116.2767029,2150,Snowmobiling,1,0,1,March,4
56,99,2009-03-24,2009,Saturday,"One snowmobiler triggered avalanche which overtook a second snowmobiler lower on

the slope. Third person involved but not buried. The two who were caught were buried 4

- 6 feet located and partially uncovered by the third member of party. No vital signs

when uncovered.",Renshaw Creek,BC,53.50722122,-123.0519409,1920,Snowmobiling,2,0,2,March,3
57,101,2009-03-18,2009,Friday,"Two snowmobilers were snowmobiling on Mica Mountain, 130 km NE of 100 Mile House when they were struck by an avalanche. One of the two males was completely buried. The survivor attempted to locate the buried victim but was unsucessful and then left the scene to summon help.



The uninjured snowmobiler had made his way out to a residence near Canim Lake where he contacted police. He then returned to the

scene of the slide and continued his search for his friend. Other snowmobilers who were in the area joined the search and were able to

locate the male with the use of an emergency beacon. All efforts to revive the man were unsuccessful. The snowmobilers were unable

to remove the deceased and were forced to vacated the area due to darkness.",Mica Mountain,BC,52.10861206,-120.3694992,1700,Snowmobiling,1,0,1,March,-7
